M_BH,M_sph,R_e,sSFR
8.277022,11.07473,0.3566068,-9.90872
8.391696,11.228577,0.21432684,-9.93489
7.9691,10.879062,0.2416802,-9.962604
7.964017,10.597077,0.2746064,-9.841348
8.707377,10.948449,0.529707,-9.878068
8.5380125,10.995356,0.295206,-9.880515
9.262622,11.655913,0.5620545,-9.931256
8.170375,10.856871,0.434025,-10.073473
8.817047,11.030771,0.5249095,-9.857838
8.2042885,10.419443,0.9762478,-9.5678
9.182092,11.225983,0.6449147,-10.097639
8.3410015,10.870326,0.41725665,-9.858231
8.145299,10.445548,0.17286156,-9.777387
8.322157,10.858982,0.5398994,-9.778275
8.400139,10.854118,0.8946872,-10.276121
8.641465,11.2320175,0.38769722,-9.9759245
8.852456,11.2363405,0.32779253,-9.831721
8.758759,11.240967,0.3493139,-9.987083
8.337601,10.90631,0.13960439,-9.902594
8.431678,11.057694,0.07068732,-9.711872
8.2589035,10.7000675,0.32183233,-9.859766
8.032988,11.087683,0.31378657,-9.8363495
8.318492,10.603281,0.8592372,-9.699404
8.238868,10.913456,0.25732085,-9.966776
8.141253,10.677547,0.3172328,-9.973976
7.9917703,10.740335,-0.00048628123,-9.963335
8.476817,10.5563965,0.3383073,-9.562866
8.580656,11.167393,0.48575553,-9.947336
8.668878,10.775501,0.56835365,-9.811172
8.071682,10.961317,0.06833353,-9.936554
8.354091,10.773751,0.57814294,-9.843506
8.867567,11.561409,0.5476141,-9.927208
9.166991,11.627499,0.630105,-9.980935
8.179576,10.662797,0.55789316,-10.062054
8.392287,10.85822,0.24651068,-9.951076
8.048218,10.809623,0.4713121,-9.858362
8.053286,10.936401,0.15346438,-9.944361
8.499498,11.090581,0.23236369,-9.93974
8.236439,10.891038,0.38424876,-10.005024
8.035829,10.965497,0.21597604,-9.839925
8.033546,10.466976,0.45689726,-9.718405
8.70911,11.0015,0.42576787,-9.993307
8.365009,10.774986,0.45043826,-9.912448
8.057222,10.766408,0.48080856,-9.751162
10.202841,12.123902,0.9123318,-9.781045
9.924679,12.195186,0.7187965,-9.825984
8.76045,11.195077,0.4092436,-9.920157
9.227972,11.484189,0.48400593,-9.761682
9.571489,11.6184435,0.66040385,-9.717849
8.479727,10.8388,0.3580793,-9.899143
8.0665245,10.926201,0.35774946,-9.962787
8.336962,10.868721,0.88772815,-10.026802
8.119734,10.582898,0.5980559,-9.953058
7.9736686,10.877103,0.3462218,-9.989363
9.0080805,11.138329,0.689844,-10.094572
9.252032,11.486956,0.79899615,-9.248191
8.652044,11.054337,0.3594985,-9.887366
8.821153,11.082889,0.51057583,-9.904093
8.08119,11.016048,0.38041943,-9.808509
8.432147,11.003088,0.5166085,-9.6792145
8.260482,10.710603,0.18142267,-10.071408
8.579773,10.840988,0.57209116,-9.901625
10.41398,12.2168,1.1200684,-9.826193
9.462704,11.5349,0.76254255,-9.917778
9.2842245,11.309265,0.7145282,-9.804578
8.544338,11.122248,0.46921873,-9.942044
8.374737,10.768731,0.47611928,-9.915632
8.329175,10.843045,0.3768315,-9.87643
9.000171,11.254639,0.44851717,-9.967075
