M_BH,M_sph,R_e,sSFR
9.052363,11.524083,1.0603368,-13.631032
8.302214,10.5328865,0.8346885,-13.542923
9.068054,11.141116,0.9716136,-13.148578
8.452473,11.063388,0.7129791,-13.41222
8.440173,10.997761,0.8291757,-14.244132
8.521571,10.955834,0.7499707,-13.397394
8.558915,11.104847,0.8228536,-13.45855
8.80277,11.213968,0.806914,-14.614499
8.305663,10.836266,0.814674,-13.242483
8.609361,11.098406,0.96159136,-16.477375
8.401002,10.973873,0.92781895,-14.085961
7.7941666,10.061158,0.8138574,-11.86099
7.981548,10.321645,0.669925,-11.7543955
8.5258665,11.134873,0.6856177,-13.443734
8.552254,10.967905,0.8988339,-11.760283
8.460983,10.904701,0.81488484,-13.456083
8.316102,10.513084,0.9511252,-12.231309
8.10506,10.364449,0.8104344,-15.38805
8.568003,11.057146,0.8007089,-13.659981
8.781345,11.430384,0.834723,-14.009323
8.171379,10.778471,0.57199633,-12.860418
8.07957,10.609839,0.8360814,-13.140211
8.323542,11.052255,0.78522193,-13.120452
8.666905,11.166135,0.89256847,-12.423046
9.340438,11.558475,1.0331875,-13.059241
7.3352017,10.621155,0.018969158,-11.725946
8.07583,10.408278,0.7904865,-16.873466
8.524313,10.931681,0.91275704,-11.585213
8.479514,10.8872385,0.44659987,-17.75207
8.072264,10.39324,0.88464606,-13.821415
8.67877,11.127069,0.9128423,-12.928551
8.32663,10.614051,0.66705006,-16.74329
8.833091,11.172976,0.8958017,-12.587886
8.303818,11.009184,0.82879066,-13.981663
9.201492,11.410926,1.0797323,-14.828722
8.629873,11.0601,0.7191714,-13.348099
8.8705015,11.199312,0.8866082,-12.697471
8.539242,11.183114,0.72953665,-14.634343
8.2385025,10.685873,0.53062034,-14.083598
8.185913,10.63829,0.83937883,-12.359614
8.419822,10.789918,0.9069433,-12.487531
8.536123,10.969447,0.7104082,-13.570309
8.501102,10.874358,0.98172003,-11.455036
8.725005,11.10686,0.84190524,-17.603556
8.917206,11.220458,0.82532704,-14.225061
8.85506,11.315951,0.90380055,-13.470613
8.7909565,11.183567,0.8157858,-12.067305
8.547213,10.981166,0.8774935,-12.056881
8.3193865,10.720664,0.74083704,-12.505712
8.273076,10.967196,0.58373123,-15.26034
9.118644,11.389328,1.0552812,-14.432088
8.28641,10.722247,0.69512707,-13.518932
8.953015,11.411353,1.0476756,-12.468898
8.355991,10.668229,0.8789716,-12.638967
8.680346,10.937288,0.67873996,-12.317417
8.625359,11.076088,0.8982781,-11.791265
8.474638,11.026549,0.70039725,-14.688959
8.782643,11.402529,1.0872327,-15.520084
8.180263,10.789319,0.6979533,-11.826784
8.087582,10.655328,0.8564581,-11.763796
8.310534,10.918003,0.80732596,-12.841906
8.853775,11.4124775,1.0259947,-13.368062
8.532909,10.865285,0.6963904,-14.185822
8.272077,10.941442,0.64614755,-11.732125
8.4808235,10.634169,1.0547715,-11.536536
9.008231,11.375778,1.1270981,-13.066188
9.003933,11.261762,0.9445487,-14.515072
8.498182,11.10856,0.90810627,-13.201433
8.926819,11.172688,0.7010391,-14.901695
8.197918,10.944495,0.7338278,-12.783743
8.703218,11.03807,0.858821,-14.302386
9.326921,11.652091,0.9571626,-14.766363
8.195103,10.767657,0.4319551,-13.700954
8.322098,11.07765,0.7178967,-12.765866
8.152792,10.690636,0.40131763,-16.603653
8.332687,11.091012,0.54900706,-13.113959
7.9090276,10.268541,0.8413675,-12.023314
8.769074,10.947112,1.1368043,-11.455948
8.214519,10.693977,0.5702888,-13.62356
8.494413,11.123465,0.8560779,-12.185043
8.383237,10.635613,0.98176706,-11.523402
8.194698,10.695551,0.8769703,-12.832956
8.747868,10.918603,0.8502869,-12.0148945
8.55797,10.675271,0.772699,-12.202452
8.655934,11.269268,0.8997411,-14.112421
8.423138,10.733896,0.69992197,-12.246378
8.158197,10.479035,1.0060471,-11.589088
8.243978,10.744423,0.60248923,-13.16642
8.139417,10.69897,0.8242897,-12.707383
8.239914,10.765766,0.68537164,-11.999327
8.555315,11.1551285,0.73143613,-15.837052
8.309511,10.838026,0.7250949,-12.858893
8.526634,11.0021515,0.7156296,-14.591326
8.467401,11.14569,0.67675215,-13.742117
7.989647,10.628463,0.42007437,-12.410453
8.698045,11.065319,0.9491646,-12.971975
8.109341,10.514904,0.88712925,-12.366851
8.728858,10.906131,0.71382236,-13.890226
7.979383,10.262827,1.0402725,-14.61965
8.325542,10.836137,0.7337214,-16.150143
8.438075,10.893524,0.84219295,-14.220552
7.699035,10.257167,0.7984462,-12.126673
8.808693,11.237529,0.8214036,-14.3610735
8.300367,10.774264,0.7274564,-12.686275
8.502929,10.922431,0.7780893,-12.794923
7.959093,10.685057,0.7348734,-11.46779
8.6388445,11.097536,0.7825012,-12.946269
8.576904,11.017866,0.6587641,-17.22032
8.674223,11.14004,0.9170921,-13.138161
8.963717,11.291065,0.9744493,-15.56979
8.085529,10.449247,0.2667027,-12.574982
8.543854,10.957587,0.7284963,-12.998803
8.328833,10.861133,0.8730678,-11.886639
8.150983,10.814332,0.5639887,-13.47952
8.987007,11.345209,0.94470793,-13.8864765
9.015447,11.338119,1.1366658,-15.369301
8.6678505,11.280799,0.9260593,-14.004605
8.318344,10.824926,0.7544036,-12.223496
8.584821,11.181186,0.77969444,-14.609541
8.566277,11.031247,0.75907314,-12.896866
8.486548,11.120943,0.6896844,-13.060067
9.151902,11.557544,0.86743945,-13.329903
8.242267,10.798555,0.71187836,-14.717106
9.120897,11.420063,0.8236873,-13.431321
8.391752,10.846513,0.87006044,-11.782299
8.193276,10.74346,0.8709822,-11.797335
